datetime,zone_prev,value,unit,source,import,export,zone_CI,carbonIntensity,emissionFactorType,isEstimated,estimationMethod,day_of_week,month,hour_of_day,year,Gas_price,Oil_Price
2022-01-01 00:00:00+00:00,DK-DK1,39.87,EUR/MWh,nordpool.com,"{'DK-DK2': 381, 'SE-SE3': 500}","{'DE': 530, 'NL': 662, 'NO-NO2': 927}",DK-DK1,149,lifecycle,True,SANDBOX_MODE_DATA,5,1,0,2022,70.34300231933594,77.24
2022-01-01 00:00:00+00:00,DK-DK1,39.87,EUR/MWh,nordpool.com,"{'DK-DK2': 381, 'SE-SE3': 500}","{'DE': 530, 'NL': 662, 'NO-NO2': 927}",DK-DK2,213,lifecycle,True,SANDBOX_MODE_DATA,5,1,0,2022,70.34300231933594,77.24
2022-01-01 00:00:00+00:00,DK-DK1,39.87,EUR/MWh,nordpool.com,{'DK-DK1': 429},"{'DE': 836, 'SE-SE4': 969}",DK-DK1,149,lifecycle,True,SANDBOX_MODE_DATA,5,1,0,2022,70.34300231933594,77.24
2022-01-01 00:00:00+00:00,DK-DK1,39.87,EUR/MWh,nordpool.com,{'DK-DK1': 429},"{'DE': 836, 'SE-SE4': 969}",DK-DK2,213,lifecycle,True,SANDBOX_MODE_DATA,5,1,0,2022,70.34300231933594,77.24
2022-01-01 01:00:00+00:00,DK-DK1,32.76,EUR/MWh,nordpool.com,"{'DK-DK2': 318, 'SE-SE3': 401}","{'DE': 671, 'NL': 671, 'NO-NO2': 997}",DK-DK1,120,lifecycle,True,SANDBOX_MODE_DATA,5,1,1,2022,70.34300231933594,77.24
2022-01-01 01:00:00+00:00,DK-DK1,32.76,EUR/MWh,nordpool.com,"{'DK-DK2': 318, 'SE-SE3': 401}","{'DE': 671, 'NL': 671, 'NO-NO2': 997}",DK-DK2,149,lifecycle,True,SANDBOX_MODE_DATA,5,1,1,2022,70.34300231933594,77.24
2022-01-01 01:00:00+00:00,DK-DK1,32.76,EUR/MWh,nordpool.com,{'DK-DK1': 326},"{'DE': 65, 'SE-SE4': 243}",DK-DK1,120,lifecycle,True,SANDBOX_MODE_DATA,5,1,1,2022,70.34300231933594,77.24
2022-01-01 01:00:00+00:00,DK-DK1,32.76,EUR/MWh,nordpool.com,{'DK-DK1': 326},"{'DE': 65, 'SE-SE4': 243}",DK-DK2,149,lifecycle,True,SANDBOX_MODE_DATA,5,1,1,2022,70.34300231933594,77.24
2022-01-01 02:00:00+00:00,DK-DK1,49.88,EUR/MWh,nordpool.com,"{'DK-DK2': 249, 'SE-SE3': 354}","{'DE': 422, 'NL': 293, 'NO-NO2': 1298}",DK-DK1,175,lifecycle,True,SANDBOX_MODE_DATA,5,1,2,2022,70.34300231933594,77.24
2022-01-01 02:00:00+00:00,DK-DK1,49.88,EUR/MWh,nordpool.com,"{'DK-DK2': 249, 'SE-SE3': 354}","{'DE': 422, 'NL': 293, 'NO-NO2': 1298}",DK-DK2,222,lifecycle,True,SANDBOX_MODE_DATA,5,1,2,2022,70.34300231933594,77.24
